Ultimate EUW Challenger Ornn OTP Matchups Sheet,,,,,
Makkro Ornn ONLY Coaching -> https://mfy.gg/@makkro OR DM ME ON DISCORD Makkro0 #1691,"""Im updating the bible on a daily basis because I use it myself"" - Makkro, The Messiah of Ornn","Written by Makkro
",Makkro Twitter,,
Anivia,Even | 3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,Dont get E'd by her when youre slowed. Your E can Destroy her wall and knockup people because it counts as terrain. All In her at 6 with jungle and free kill.
Annie,Win | 3 Points Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,"Poke Her down and all in with ult. Care for her 4 stack stun it can interrupt your R, Wait out her shield"
Aphelios,Skill | 3 Points into Q > W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, 2 Armor",Doran's Shield > Frozen Heart > Radiant Virtue,Medium,Red gun heals Purple Roots Light blue Sniper White is a lot of damage up close. Punish him from range and try to combo him with high armor
Aurelion Sol,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, 2 Magic Resist",Doran's Shield > Force Of Nature > Radiant Virtue,Easy,Stay inside him like a Darius Matchup and bully him hes weak in melee.
Azir,Skill Azir Favoured |  3 Points Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 Magic Resist",Doran's Shield >  Null Magic Mante > Radiant Virtue > Gargoyle if 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,HARD,He has very heavy poke stay away from soldiers. You Can E his Ult to knockup or W to avoid his knockback
Bard,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Domination: Cheap Shot, Ultimate Hunter
Attack Speed, Armor, HP",Doran's Shield > Bamis Cinder > Boots Of Swiftness > Radiant Virtue,Easy,You can W Bard Ult but all youre gonna do is roam after 6 when you have ult up and perma push and shove waves until then. Try to get picks with ult and dont stay near walls or minions bard can stun you with Q
Bel'veth,Win | W > E > Q,"Resolve: Grasp, Demolish, Boner Plating, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double Armor",Doran's Shield > Bamis Cinder > Bramble > Sunfire > Radiant Virtue,Medium,W her W. Wait out her dashes she has a lot of them trade only with grasp and Q until she uses all of them or when she is mid animation. CC'ing her E stops her damage and healing but not the damage reduction
Brand,Win | 3 Points Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Unflinching, Second Wind
1 Adaptive Force, 2 Magic Resist",Doran's Shield > Negatron Cloak Into Radiant Virtue Into Force of Nature ,Easy,"Dont let him proc his passive on you, stay behind minons and wait his cooldowns"
Caitlyn,Skill |  3 Points Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 Armor",Doran' Shield > Wardens Mail > Radiant Virtue > Finish Randuins when she builds Crit,Easy,Dont step on her traps and side step her Q and E. Her ult can be blocked by other champions. Try to triple brittle combo her after baiting her E with an engage. DO NOT E UNLESS HER E IS DOWN
"Camille
",Lose After Divine Skill Before Divine | W > E > Q ,"Resolve: Grasp, Demolish, Second Wind, Unflinching Inspiration: Biscuits, Magical Footwear
Attack Speed, 2 Armor",Doran's Shield > Bami's Cinder > Sunfire > Finish Bramble when she gets Divine > Radiant Virtue > Swifties,Hard,"You just wanna let her shove and farm her poke isn't that strong when you have Doran's Shield she won't even tickle your hp with her w and runaway trades. Watch out for her using e from your pillar and if she doesn't get fed you should just win  fights later on if your team plays accordingly but pretty much all of ornn matchups after 6 go like this: if hit q then ult instantly and e and put them in a true combo and beat the fuck out of them. Bait Her Ult with yours but do not cast R2, instead make her follow you and let her get run over by R1 and instantly auto to proc the brittle. Poke her down with W spam and if her shield is magical keep auto attacking if its physical either W her and proc brittle or run away if you dont have a brittle its too big to destroy with autos and Q > E."
Cassiopiea,Lose | 3 Points Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
1 Adaptive Force, 2 MR",Doran's Shield > Force Of Nature > Radiant Virtue ,Hard,Her whole kit counters yours with her grounded you can't move nor cast your E. Try to poke her and dodge her Q. Don't let her perma spam E on you because she can after she either hits Q or W. When you Ult look away from her when the ram comes because she will try to either Ground or Stun you with her R.
Cho'Gath,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Magical Footwear
Attack Speed, 2 MR",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Medium,You both scale really hard but cho'gath does fuck you up with his silence so you can't properly combo him so either ult and just let it go through and auto attack with the brittle or just walk away and wait for the ram it's like a second w and then w his q that's how your fights lvl 6 should go.If cho'gath fucks up his w timing well great just ult him
Corki,Win | 3 Points into Q > W > E > Finish Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Magic Resist, Armor",Doran's Shield >  Null Magic Mante > Radiant Virtue > Gargoyle if 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Medium,Boring farm matchup. Blow his W and look for all in with Ult.
Darius,Lose | 3 Points into Q > W > E > Finish Maxing Q | ,"Sorcery: Phase Rush, Manaflow, Transendence, Scorch                     Inspiration: Cookie, Boots
AD, 2 Armor",Doran's Shield > Bami's Cinder > Wardens Mail > Sunfire > Radiant Virtue,Medium ,I personally love this matchup it's very fun. As all darius matchups let the wave push to you and you can begin comboing him after lvl 3 you gotta q w and e away that's your bread and butter or when he's chasing you or just melee range w his e so you deny his E Q guaranteed heal. You outscale him so it's not a problem if you don't try to fight him
Diana,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double MR ",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Easy,Wait out her W shield it refreshes once she gets all orbs rehit. Look for tripple brittle combo. Her E can dodge your W she appears behind you
Doctor Mundo,Skill | W > E > Q ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Cookies, Boots
Attack Speed, Armor, MR ",Doran's Shield > Bami's Cinder > Executioner > Sunfire > Radiant Virtue ,Medium,Just farm and punish him when he goes for cs you're much stronger lvl 1>5 after that it's tough to kill him
Draven ,Skill | W > E > Q,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, 2 Armor",Doran's Shield > Frozen Heart > Radiant Virtue,Hard,His E can cancell your E and R2 so be careful of that and his strong level 1.
Ekko,Skill | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Unflinching
Inspiration: Biscuits, Cosmic Insight
Attack Speed, Double Magic Resist",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Medium,Just dont get hit by his third attack
Fiora,"Lose | If Fiora player is bad go W > E > Q, if she is good take 3 points Q > Back to W > E > Q | Flash TP | ","Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
Attack Speed, Double Armor",Doran's Shield > Bramble > Frozen Heart > Radiant Virtue,Should have banned it,"Have to know fiora Q range so you can bait her into wasting Q. You can reset vitals, but make sure you're not giving up exp to do so. Your objective this lane is not to kill her, you want to survive and look for kills with Jungle help. You can farm from range with Q and W. You can bait out Fiora's W by applying brittle on her and cancelling your auto. Once her W is on cooldown (24 seconds cd rank 1). You can kill her with Ignite from spellbook. Do not let Fiora farm platings on you, look to clear the wave when it crashes. LET HER HAVE THE PUSH YOU CANNOT PLAY IF YOU'RE PUSHING."
Fizz,Even |  W > E > Q | ,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed > MR > HP",Doran's Shield > Bami's Cinder > Null Magic Mantle > Radient Virute > Gargoyle if 2 AP or Bami's Cinder > Force Of Nature > Radiant Virtue if 3 AP  ,Easy,Get prio with grasp you can W his ult knockup. E away as soon as he E's to damage you or all ins with ult.
Galio,Win | W > E > Q,"Resolve: Grasp, Demolish, Second Wind, Overgrowth
Inspiration: Biscuits, Magical Footwear
Attack Speed, Double MR",Doran's Shield > Null Magic Mantle > Radiant Virtue > Gargoyle If 2 AP Or Force of Nature > Radiant Virtue if they have 3 AP  ,Easy,W his E and poke him down. Ping his level 6 Roams and you free scale
Gangplank,Skill GP Favoured | 3 Points Q > W > E > Q | ,"Inspiration: Spellbook, Magical Footwear, Biscuits, Cosmic Insight
Resolve: Overgrowth, Second Wind
AD, Armor, HP",Doran's Shield  > Anathema > Radiant Virtue > Gargoyle ,Medium,Don't get hit too much from his q hide in bushes and make sure your Doran's Shield passive regen stays up the whole time won't eat his q endlessly. Farm until you can q and combo him into oblivion or just farm and scale you won't really have much kill potential against a gangplank who knows the matchup
Garen,Even | W > E > Q | ,"Resolve: Grasp, Demolish, Bone Plating, Overgrowth
Inspiration: Cookies, Boots
Attack Speed, Armor, HP",Doran's Shield > Bami's Cinder > Sunfire > Radiant Virtue > Gargoyle,Easy,Bully level 1 with grasp and Q > W him on repeat. Make sure to drop his passive with your W never let him regen and poke him down continously until he DIES. Careful for his Q E combo kite him away when he does it with your Q and Dash away with E. Watch out for his Ignite + Ult it kills very quickly when youre 40% HP and lower recall when you reach that much HP. 
